timestamp,symbol,mid_price,spread,open,high,low,close,volume,bid_price_1,bid_size_1,ask_price_1,ask_size_1,bid_price_2,bid_size_2,ask_price_2,ask_size_2,bid_price_3,bid_size_3,ask_price_3,ask_size_3,bid_price_4,bid_size_4,ask_price_4,ask_size_4,bid_price_5,bid_size_5,ask_price_5,ask_size_5,bid_price_6,bid_size_6,ask_price_6,ask_size_6,bid_price_7,bid_size_7,ask_price_7,ask_size_7,bid_price_8,bid_size_8,ask_price_8,ask_size_8,bid_price_9,bid_size_9,ask_price_9,ask_size_9,bid_price_10,bid_size_10,ask_price_10,ask_size_10,bid_price_11,bid_size_11,ask_price_11,ask_size_11,bid_price_12,bid_size_12,ask_price_12,ask_size_12,bid_price_13,bid_size_13,ask_price_13,ask_size_13,bid_price_14,bid_size_14,ask_price_14,ask_size_14,bid_price_15,bid_size_15,ask_price_15,ask_size_15,bid_price_16,bid_size_16,ask_price_16,ask_size_16,bid_price_17,bid_size_17,ask_price_17,ask_size_17,bid_price_18,bid_size_18,ask_price_18,ask_size_18,bid_price_19,bid_size_19,ask_price_19,ask_size_19,bid_price_20,bid_size_20,ask_price_20,ask_size_20,total_bid_volume,total_ask_volume,volume_imbalance,trade_price,trade_size,trade_side
2025-09-19 16:01:16.909713,BTCUSDT,1000.0,0.9,999.7,1001.0,999.5,1000.0,16.4368,999.5,0.528123,1000.5,1.11333,999.0,0.036719,1001.0,0.010455,998.5,0.38188,1001.5,0.188585,998.0,0.097957,1002.0,0.122995,997.5,0.016862,1002.5,0.029895,997.0,0.346624,1003.0,0.570774,996.5,0.189305,1003.5,0.165936,996.0,0.128377,1004.0,0.03829,995.5,0.030033,1004.5,0.394667,995.0,0.220068,1005.0,0.024162,994.5,0.008551,1005.5,0.150256,994.0,0.030199,1006.0,0.164609,993.5,0.010131,1006.5,0.021167,993.0,0.117708,1007.0,0.111183,992.5,0.336579,1007.5,0.197984,992.0,0.144771,1008.0,0.075665,991.5,0.023928,1008.5,0.246035,991.0,0.031441,1009.0,0.013062,990.5,0.020627,1009.5,0.079547,990.0,0.00732,1010.0,0.029771,2.707203,3.748368,-0.1613,,,
2025-09-19 16:01:16.959713,BTCUSDT,1000.0,3.9,999.0,1002.3,994.9,1000.0,203.3881,998.1,0.242405,1001.9,0.085066,997.6,1.27615,1002.4,0.121628,997.1,0.065243,1002.9,0.946596,996.6,0.251699,1003.4,0.137571,996.1,0.048436,1003.9,0.173189,995.6,0.039064,1004.4,0.475807,995.1,0.132985,1004.9,0.095574,994.6,0.038562,1005.4,0.131727,994.1,0.016262,1005.9,0.109918,993.6,0.019332,1006.4,0.054144,993.1,0.052443,1006.9,0.035182,992.6,0.085979,1007.4,0.140745,992.1,0.021421,1007.9,0.066931,991.6,0.0833,1008.4,0.020809,991.1,0.060394,1008.9,0.008283,990.6,0.043694,1009.4,0.008398,990.1,0.037701,1009.9,0.065601,989.6,0.005808,1010.4,0.040939,989.1,0.196943,1010.9,0.027086,988.6,0.007112,1011.4,0.044857,2.724933,2.790052,-0.0118,999.6,0.403702,-1.0
2025-09-19 16:01:17.009713,BTCUSDT,1002.8,1.3,1002.5,1003.9,1002.0,1002.8,359.284,1002.1,1.260266,1003.4,1.26698,1001.6,0.963283,1003.9,0.109055,1001.1,0.055911,1004.4,0.758369,1000.6,0.251489,1004.9,0.226891,1000.1,0.016965,1005.4,0.31714,999.6,0.066542,1005.9,0.023588,999.1,0.054751,1006.4,0.057791,998.6,0.721305,1006.9,0.03103,998.1,0.178617,1007.4,0.037439,997.6,0.144108,1007.9,0.33852,997.1,0.010744,1008.4,0.00686,996.6,0.079174,1008.9,0.13026,996.1,0.238885,1009.4,0.338287,995.6,0.037875,1009.9,0.049285,995.1,0.031327,1010.4,0.092633,994.6,0.042943,1010.9,0.079464,994.1,0.007688,1011.4,0.128508,993.6,0.026083,1011.9,0.067381,993.1,0.036846,1012.4,0.078046,992.6,0.141614,1012.9,0.044136,4.366416,4.181663,0.0216,,,
2025-09-19 16:01:17.059713,BTCUSDT,1001.0,0.9,1001.0,1001.9,1000.1,1001.0,25.7443,1000.6,0.417392,1001.4,0.114169,1000.1,0.01634,1001.9,0.513203,999.6,0.020561,1002.4,0.846679,999.1,0.034024,1002.9,0.38086,998.6,0.009396,1003.4,0.65216,998.1,0.153657,1003.9,0.037323,997.6,0.10155,1004.4,0.601858,997.1,0.15773,1004.9,0.092805,996.6,0.166669,1005.4,0.061984,996.1,0.215323,1005.9,0.329652,995.6,0.03992,1006.4,0.030525,995.1,0.048293,1006.9,0.270052,994.6,0.328089,1007.4,0.04197,994.1,0.033791,1007.9,0.203685,993.6,0.086827,1008.4,0.061458,993.1,0.025427,1008.9,0.006923,992.6,0.019619,1009.4,0.021408,992.1,0.159412,1009.9,0.01979,991.6,0.018893,1010.4,0.003589,991.1,0.00927,1010.9,0.08265,2.062183,4.372744,-0.3591,,,
2025-09-19 16:01:17.109713,BTCUSDT,1000.0,0.4,999.9,1000.4,999.6,1000.0,267.7033,999.8,1.468712,1000.2,0.438767,999.3,0.096718,1000.7,0.085756,998.8,0.044582,1001.2,0.938768,998.3,0.195456,1001.7,0.364075,997.8,0.034986,1002.2,0.024124,997.3,0.153068,1002.7,0.126569,996.8,0.284307,1003.2,0.105789,996.3,0.490488,1003.7,0.056245,995.8,0.286286,1004.2,0.215833,995.3,0.018139,1004.7,0.001984,994.8,0.199931,1005.2,0.035128,994.3,0.085311,1005.7,0.139993,993.8,0.295676,1006.2,0.00234,993.3,0.184194,1006.7,0.110428,992.8,0.002675,1007.2,0.018524,992.3,0.032004,1007.7,0.021363,991.8,0.008708,1008.2,0.006293,991.3,0.035065,1008.7,0.016061,990.8,0.086246,1009.2,0.015052,990.3,0.268567,1009.7,0.023908,4.271119,2.747001,0.2172,999.9,0.280996,-1.0
2025-09-19 16:01:17.159713,BTCUSDT,1000.0,2.9,999.3,1005.1,998.5,1000.0,48.0823,998.5,0.78332,1001.5,5.160025,998.0,0.027838,1002.0,0.220866,997.5,0.097892,1002.5,0.0266,997.0,0.017395,1003.0,0.930794,996.5,0.007008,1003.5,1.10001,996.0,0.173289,1004.0,0.025997,995.5,0.059809,1004.5,0.200283,995.0,0.010662,1005.0,0.314118,994.5,0.153508,1005.5,0.044322,994.0,0.007365,1006.0,0.126005,993.5,0.041473,1006.5,0.029561,993.0,0.014241,1007.0,0.08936,992.5,0.14927,1007.5,0.061636,992.0,0.151269,1008.0,0.009354,991.5,0.184785,1008.5,0.025425,991.0,0.081471,1009.0,0.030932,990.5,0.152701,1009.5,0.249203,990.0,0.002223,1010.0,0.006749,989.5,0.003795,1010.5,0.063151,989.0,0.184015,1011.0,0.204876,2.303329,8.919266,-0.5895,998.2,0.095096,-1.0
2025-09-19 16:01:17.209713,BTCUSDT,1000.3,0.1,1000.3,1000.3,1000.2,1000.3,22.5681,1000.2,2.142369,1000.3,0.193256,999.7,0.435635,1000.8,0.067306,999.2,0.690316,1001.3,0.504995,998.7,0.005848,1001.8,0.212138,998.2,0.079794,1002.3,0.531401,997.7,0.068643,1002.8,0.201303,997.2,0.043599,1003.3,0.275492,996.7,0.023335,1003.8,0.007291,996.2,0.033487,1004.3,0.009657,995.7,0.0869,1004.8,0.007314,995.2,0.031216,1005.3,0.054397,994.7,0.124372,1005.8,0.028276,994.2,0.363871,1006.3,0.032323,993.7,0.04393,1006.8,0.006358,993.2,0.220535,1007.3,0.067418,992.7,0.063429,1007.8,0.199812,992.2,0.066444,1008.3,0.013266,991.7,0.093357,1008.8,0.004866,991.2,0.002307,1009.3,0.010908,990.7,0.001,1009.8,0.041114,4.620387,2.468893,0.3035,,,
2025-09-19 16:01:17.259713,BTCUSDT,1000.1,1.0,999.8,1000.7,999.5,1000.1,80.9264,999.6,1.031138,1000.6,0.729457,999.1,0.154324,1001.1,0.260185,998.6,0.389633,1001.6,0.512426,998.1,0.262729,1002.1,0.196978,997.6,0.20435,1002.6,0.213878,997.1,0.121792,1003.1,0.121147,996.6,0.134875,1003.6,0.092155,996.1,0.299988,1004.1,0.037851,995.6,0.032985,1004.6,0.032743,995.1,0.014489,1005.1,0.082166,994.6,0.102932,1005.6,0.156025,994.1,0.05158,1006.1,0.07308,993.6,0.066141,1006.6,0.007513,993.1,0.037135,1007.1,0.147597,992.6,0.001,1007.6,0.032856,992.1,0.129646,1008.1,0.038605,991.6,0.06304,1008.6,0.005738,991.1,0.061569,1009.1,0.100411,990.6,0.110308,1009.6,0.007588,990.1,0.012684,1010.1,0.021052,3.282336,2.86945,0.0671,,,
2025-09-19 16:01:17.309713,BTCUSDT,1000.0,3.0,999.4,1003.8,996.6,1000.0,19.2496,998.5,1.610093,1001.5,0.574494,998.0,0.775535,1002.0,0.182203,997.5,0.067985,1002.5,0.423824,997.0,0.765962,1003.0,0.006117,996.5,0.085792,1003.5,0.100669,996.0,0.059919,1004.0,0.109593,995.5,0.145179,1004.5,0.141031,995.0,0.03315,1005.0,0.294433,994.5,0.195144,1005.5,0.076743,994.0,0.010349,1006.0,0.023038,993.5,0.062268,1006.5,0.067806,993.0,0.285048,1007.0,0.014307,992.5,0.320875,1007.5,0.047215,992.0,0.001979,1008.0,0.092701,991.5,0.003591,1008.5,0.087785,991.0,0.142453,1009.0,0.002622,990.5,0.092305,1009.5,0.184846,990.0,0.084588,1010.0,0.085301,989.5,0.074498,1010.5,0.005766,989.0,0.043743,1011.0,0.038802,4.860458,2.559295,0.3101,,,
2025-09-19 16:01:17.359713,BTCUSDT,1000.0,1.7,999.6,1001.1,998.8,1000.0,166.255,999.2,0.872199,1000.8,0.263243,998.7,0.194356,1001.3,0.397898,998.2,0.077254,1001.8,0.075733,997.7,1.055191,1002.3,0.290654,997.2,0.444641,1002.8,0.271158,996.7,0.080525,1003.3,0.665746,996.2,0.0023,1003.8,0.071312,995.7,0.010773,1004.3,0.029387,995.2,0.116872,1004.8,0.045937,994.7,0.054668,1005.3,0.113985,994.2,0.107664,1005.8,0.048453,993.7,0.053741,1006.3,0.062111,993.2,0.120972,1006.8,0.001584,992.7,0.00809,1007.3,0.001,992.2,0.017304,1007.8,0.250845,991.7,0.101677,1008.3,0.08904,991.2,0.03149,1008.8,0.086157,990.7,0.010167,1009.3,0.247985,990.2,0.024122,1009.8,0.166785,989.7,0.033266,1010.3,0.043171,3.417273,3.222184,0.0294,,,
